"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-04-01T16:20:44.000Z","text","안녕 친구들..","","","","",""
"2023-04-01T15:50:35.000Z","text","튀케=운명의 여신","","","","",""
"2023-04-01T15:20:40.000Z","text","가장 곤란한 것은 모든 사람이 생각하지 않고 나오는 대로 말하는 것이다.","","","","",""
"2023-04-01T14:50:40.000Z","text","좋은 기회는 좀처럼 생기지 않으며 쉽사리 잃는다.","","","","",""
"2023-04-01T14:20:49.000Z","text","현명한 요령은 무엇을 눈감아 주어야 하는가를 아는 것이다.","","","1","",""
"2023-04-01T13:50:38.000Z","text","괴로움이 없는 가난함은 비참한 부자보다 낫다.","","","","",""
"2023-04-01T13:20:46.000Z","text","작은 성공을 만족스럽게 생각하는 사람은 큰 성공을 얻지 못한다.","","","","",""
"2023-04-01T12:50:39.000Z","text","타로스 : 녹색의 광채를 지닌 광물로, 매우 단단하며 무겁다","","","","",""
"2023-04-01T12:20:46.000Z","text","사소한 일이라도 시작했으면 끝까지 하라.","","","","",""
"2023-04-01T11:50:39.000Z","text","닉스=태고에 있었던 카오스때 한 부분을 차지했던 여신","","","","",""
"2023-04-01T11:20:48.000Z","text","0006H=하스터(Hastur)의 자녀 창조=브리깃드, 크투가","","","","",""
"2023-04-01T10:50:38.000Z","text","고통이 남기고 간 뒤를 보라! 고난이 지나면 반드시 기쁨이 스며든다.","","","","",""
"2023-04-01T10:20:51.000Z","text","열매를 보면 나무를 안다.","","","1","",""
"2023-04-01T09:50:38.000Z","text","남에게 가르치는 것은 반은 배우는 것이 된다.","","","","",""
"2023-04-01T09:20:44.000Z","text","인생을 소신껏 산다는 것이야말로 단 하나의 성공이다.","","","","",""
"2023-04-01T08:50:41.000Z","text","그는 지독한 근시 때문에 모든 악보를 외워야만 했다.","","","","",""
"2023-04-01T08:20:48.000Z","text","장님 나라에서는 애꾸가 복된 자 이다.","","","","",""
"2023-04-01T07:50:38.000Z","text","나이를 먹는다고 하는 것은 사물을 볼 줄 알게 됨을 말한다.","","","","",""
"2023-04-01T07:20:48.000Z","text","모모스=비웃음의신","","","","",""
"2023-04-01T06:50:38.000Z","text","결함이 나의 출발의 바탕이고, 무능이 나의 근원이다.","","","","",""
"2023-04-01T06:20:46.000Z","text","우리의 고뇌는 모두 혼자 있을 수 없는 것에서 초래된다.","","","","",""
"2023-04-01T05:50:39.000Z","text","불가항력에 대해서는 책임이 없다.","","","","",""
"2023-04-01T05:20:46.000Z","text","가장 나쁜 사람은 용서를 모르는 사람이다.","","","","",""
"2023-04-01T04:50:40.000Z","text","때가 오면 결말이 난다.","","","","",""
"2023-04-01T04:20:48.000Z","text","감정에 치우치는 논쟁이 반드시 상대에 대한 모욕이 된다고 할 수는 없다.","","","","",""
"2023-04-01T03:50:39.000Z","text","셀레네-달의여신","","","","",""
"2023-04-01T03:20:46.000Z","text","진리는 웃음과 동반한다.","","","","",""
"2023-04-01T02:50:40.000Z","text","도포 입고 논을 갈아도 제 멋이다.","","","","",""
"2023-04-01T02:20:48.000Z","text","포보스=공포의 신, 아레스의 아들","","","","",""
"2023-04-01T01:20:46.000Z","text","멀리서 온 나그네는 실속없이 거짓말을 하는 수가 있다.","","","","",""
"2023-04-01T00:20:46.000Z","text","알티브라키디온 : 브라키디온 20개의 크기의 정령석","","","","",""
"2023-03-31T23:50:38.000Z","text","가난해도 만족하는 사람은 부자이다.","","","","",""
"2023-03-31T23:20:48.000Z","text","행복은 습관이다. 그것을 몸에 지니라.","","","1","",""
"2023-03-31T22:50:38.000Z","text","0014H=에이본 - 하스터(Hastur)의 의지에 따라 불변에 소재(메레다인)으로 예언서를 쓰다.","","","","",""
"2023-03-31T22:20:44.000Z","text","0006H=하스터(Hastur)의 자녀 창조=브리깃드, 크투가","","","","",""
"2023-03-31T21:50:35.000Z","text","불안이나 두려움을 없애주는 것이 행동이다.","","","1","",""
"2023-03-31T21:21:18.000Z","text","레오나르=마녀들에게 마술을 가르쳐 주는 악마로 염소머리를 가지고 있습니다.","","","","",""
"2023-03-31T20:50:38.000Z","text","판=숲과 들, 양치기의 신, 헤르메스의 아들","","","","",""
"2023-03-31T20:20:41.000Z","text","누구나 제 고향에서 존경받기는 어렵다.","","","","",""
"2023-03-31T19:50:35.000Z","text","꾸어주는 사람은 그냥 주는 사람이다.","","","","",""
"2023-03-31T19:20:42.000Z","text","현대의 행동의 수단은 실력이어야 한다. 가문의 문벌 같은 것은 소용없다.","","","","",""
"2023-03-31T18:50:35.000Z","text","덕이란 청결이다.","","","","",""
"2023-03-31T18:20:41.000Z","text","겁이 많은 개일수록 큰소리로 짓는다.","","","","1",""
"2023-03-31T17:50:37.000Z","text","에필로는 로랜시아의 최초의 어부이기도 하지..","","","","",""
"2023-03-31T17:20:40.000Z","text","공포로 인한 고통은 사람의 모습을 어리석고 추악하게 만든다.","","","","",""
"2023-03-31T16:50:37.000Z","text","네크로멘서는 자신이 잡은 몬스터는 마음대로 소환할수 있다고 들었어.","","","","",""
"2023-03-31T15:20:40.000Z","text","어린이는 부모의 행동이 거울이다.","","","","",""
"2023-03-31T14:50:41.000Z","text","젊음의 잘못된 습관을 치료할 수 있는 유일한 의사가 바로 시간이다.","","","","",""
"2023-03-31T14:20:50.000Z","text","불의 남신 크투카(Cthugha)","","","","",""
"2023-03-31T13:50:38.000Z","text","우리 자신이 모든 문제의 원인이며 해결책이다.","","","","",""
"2023-03-31T13:20:46.000Z","text","순리에 따르라.","","","","",""
"2023-03-31T12:50:40.000Z","text","언제나 자기 자신과 자신의 상황을 긍정적으로 생각하라.","","","","",""
"2023-03-31T12:20:46.000Z","text","프로세르핀=그리스의 탄생을 관장하는 데메티르의 딸입니다.","","","","",""
"2023-03-31T11:50:39.000Z","text","머맨(Mermen)은 해저동굴에 출현하지만 그다지 강하지 않은 녀석이지.","","","","",""
"2023-03-31T10:50:39.000Z","text","로랜시아 여관의 주인은 홀리 그녀는 아직 결혼하지 않았지. ^^;","","","","",""
"2023-03-31T10:20:49.000Z","text","큰 기쁨은 슬픔처럼 말이 없는 법이다.","","","1","",""
"2023-03-31T09:50:38.000Z","text","왕국을 다스리는 것보다 가정을 다스리는 편이 어렵다.","","","","",""
